The CCLE Results relative to 10206158
CCLE Name	Target	Does	IC50
KURAMOCHI	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KYM-1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	1.93816185	
KYSE-140	2	.0025	.0080	.025	.080	.25	.80	2.53	8	2.105214119	
KYSE-150	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KYSE-180	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KYSE-30	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.084109992	
KYSE-410	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KYSE-450	2	.0025	.0080	.025	.080	.25	.80	2.53	8	6.272626877	
KYSE-510	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
KYSE-520	2	.0025	.0080	.025	.080	.25	.80	2.53	8	2.899242401	
KYSE-70	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.640863359	
L3.3	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
L-363	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
L-428	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
LC-1/sq-SF	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
LCLC-103H	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
LN-18	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
LN-229	2	.0025	.0080	.025	.080	.25	.80	2.53	8	4.980614185	
LOU-NH91	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
LOX IMVI	2	.0025	.0080	.025	.080	.25	.80	2.53	8	1.002676487	
LP-1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
LS123	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
LS411N	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.013036346	
LS513	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.031874225	
LU99	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.253714144	
LUDLU-1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
M059J	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
Malme-3M	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.004154827	
MB 157	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MC116	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MCAS	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.94524008	
MCF7	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MDA-MB-157	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MDA-MB-175-VII	2	.0025	.0080	.025	.080	.25	.80	2.53	8	3.983871937	
MDA-MB-415	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MDA-MB-435S	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.027077457	
MDA-MB-436	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MDA-MB-453	2	.0025	.0080	.025	.080	.25	.80	2.53	8	2.751912594	
MDA-MB-468	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MEC-1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MEG-01	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.276277214	
MEL-HO	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.01382275	
MES-SA	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MeWo	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MFE-280	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MFE-296	2	.0025	.0080	.025	.080	.25	.80	2.53	8	7.721744537	
MFE-319	2	.0025	.0080	.025	.080	.25	.80	2.53	8	2.332025623	
MG-63	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MHH-ES-1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.026637657	
MIA PaCa-2	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.064959936	
Mino	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MJ	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MKN-45	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.287491083	
MKN7	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MKN74	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MOG-G-CCM	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MOLP-8	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MOLT-16	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MONO-MAC-1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MOR/CPR	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MPP 89	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
MSTO-211H	2	.0025	.0080	.025	.080	.25	.80	2.53	8	1.102446795	
NCI-H1048	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
NCI-H1092	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
NCI-H1155	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
NCI-H1184	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
NCI-H1299	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.440331429	
NCI-H1339	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
NCI-H1341	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
NCI-H1355	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.519260585	
NCI-H1373	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
NCI-H1563	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
NCI-H1568	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
NCI-H1573	2	.0025	.0080	.025	.080	.25	.80	2.53	8	1.578598022	
NCI-H1581	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
NCI-H1648	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
NCI-H1650	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
NCI-H1651	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
NCI-H1666	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.028687071	
NCI-H1693	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
NCI-H1694	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
